ID,Date,Type,Label,Sent Amount,Sent Currency,Sent Address,Received Amount,Received Currency,Fee Amount,Fee Currency,Comment
910fe8a6066c20c4e175326ee80ff8ca,2023-12-04 11:12,Trade,N/A,0.00999975,BTC,"",133.33,DYDX,0.13333,DYDX,""
277deb42c283db9ba834d5a6b1fa1cf5,2023-12-04 11:12,Trade,N/A,0.00999945,BTC,"",740.7,SUI,0.7407,SUI,""
8c6c02408617212cfaf9b425d5e0c931,2023-12-05 08:12,Trade,N/A,0.00267763,BTC,"",35.98,DYDX,0.03598,DYDX,""
d78634f9cba21d7e9e80e9845ed321af,2023-12-05 08:12,Trade,N/A,0.00227025,BTC,"",30.51,DYDX,0.03051,DYDX,""
d64e9420e5dbb9901b33def675c65ceb,2023-12-05 08:17,Trade,N/A,0.00020004,BTC,"",2.7,DYDX,0.0027,DYDX,""
07e6a5334b2c106dc501d899cb5a3f7a,2023-12-05 08:52,Trade,N/A,0.00019886,BTC,"",2.7,DYDX,0.0027,DYDX,""
8a0eae4d30da8527ee703a2349b8d9b6,2023-12-05 08:58,Trade,N/A,2.7,DYDX,"",0.00020004,BTC,0.0000002,BTC,""
e448605cfc4330a8fc7fe9985ea12160,2023-12-05 09:17,Trade,N/A,0.00019886,BTC,"",2.7,DYDX,0.0027,DYDX,""
468e87426b76abc0ff4f7bd27127ba88,2023-12-05 09:52,Trade,N/A,2.7,DYDX,"",0.00020004,BTC,0.0000002,BTC,""
d228e820db2814a8c05acecebf04cff8,2023-12-05 10:07,Trade,N/A,0.00019886,BTC,"",2.7,DYDX,0.0027,DYDX,""
8dfd72491d6db735182552a180020b11,2023-12-05 10:51,Trade,N/A,0.00019769,BTC,"",2.7,DYDX,0.0027,DYDX,""
c280365bbfde09ac7d9f6805b09af64c,2023-12-05 10:57,Trade,N/A,0.00019651,BTC,"",2.7,DYDX,0.0027,DYDX,""
f3ee7d5e295c3cdb99d59058639fa8a2,2023-12-05 11:15,Trade,N/A,2.7,DYDX,"",0.00019769,BTC,0.0000002,BTC,""
f6191fbdd1087a26d96812d363bed0d8,2023-12-05 11:39,Trade,N/A,0.00019651,BTC,"",2.7,DYDX,0.0027,DYDX,""
1f52d83f14b03d97da4b9413611e6fe0,2023-12-05 12:00,Trade,N/A,1.05,DYDX,"",0.00007688,BTC,0.00000008,BTC,""
914c785dba2144e552f76218113ed82a,2023-12-05 12:09,Trade,N/A,1.65,DYDX,"",0.00012081,BTC,0.00000012,BTC,""
1e26946e91328d0e040b07d19ecc0952,2023-12-05 12:12,Trade,N/A,2.7,DYDX,"",0.00019886,BTC,0.0000002,BTC,""
c1bd269e78f8d61f29268bbef5eea4c2,2023-12-05 12:13,Trade,N/A,2.7,DYDX,"",0.00020004,BTC,0.0000002,BTC,""
57dfe1b9d90f80b68143c2af03640427,2023-12-05 12:16,Trade,N/A,0.00019886,BTC,"",2.7,DYDX,0.0027,DYDX,""
1f7f2e9b88836b9f5634740fdb9e873a,2023-12-05 12:43,Trade,N/A,0.00019769,BTC,"",2.7,DYDX,0.0027,DYDX,""
126663547311e9b0245e731dca68d978,2023-12-05 13:09,Trade,N/A,0.00019651,BTC,"",2.7,DYDX,0.0027,DYDX,""
f601a8cd58887ea24df839325cb7273f,2023-12-05 13:27,Trade,N/A,0.00015698,BTC,"",2.17,DYDX,0.00217,DYDX,""
11e31c1dd8a7b00e0fd7e37b594ee5aa,2023-12-05 13:27,Trade,N/A,0.00003834,BTC,"",0.53,DYDX,0.00053,DYDX,""
d33517a73cd8e3fb05ef4ccf6c01e859,2023-12-05 13:39,Trade,N/A,2.29,DYDX,"",0.00016667,BTC,0.00000017,BTC,""
6f678bb273f1f303c160493bcb53a0b9,2023-12-05 13:39,Trade,N/A,0.41,DYDX,"",0.00002984,BTC,0.00000003,BTC,""
652dc3f6e72d42365a07912597b021f3,2023-12-05 13:41,Trade,N/A,0.00019532,BTC,"",2.7,DYDX,0.0027,DYDX,""
88226d597f4fbe2226dc5e96547d45bd,2023-12-05 14:03,Trade,N/A,0.4,DYDX,"",0.00002911,BTC,0.00000003,BTC,""
4df1d638d2424839e11f35eb0b10cca3,2023-12-05 14:03,Trade,N/A,2.3,DYDX,"",0.00016739,BTC,0.00000017,BTC,""
054ab67faed017de1c48d7e1af2eef6d,2023-12-05 14:37,Trade,N/A,0.00019532,BTC,"",2.7,DYDX,0.0027,DYDX,""
163bf876364ac2b7a9cacc36cef93b67,2023-12-05 15:26,Trade,N/A,2.7,DYDX,"",0.00019651,BTC,0.0000002,BTC,""
7f32d59060ec7f7bf37973deefc33474,2023-12-05 16:12,Trade,N/A,0.00019532,BTC,"",2.7,DYDX,0.0027,DYDX,""
b4fd9201ccff044963ae4d75fb7aa221,2023-12-05 16:17,Trade,N/A,0.00019416,BTC,"",2.7,DYDX,0.0027,DYDX,""
dc27b75d78e663834959a9c2ee0fcc26,2023-12-05 16:41,Trade,N/A,2.7,DYDX,"",0.00019532,BTC,0.0000002,BTC,""
247601a311256824d96d4d0bf4fa1ac4,2023-12-05 16:48,Trade,N/A,0.00019416,BTC,"",2.7,DYDX,0.0027,DYDX,""
0392379e52821b6745e3637ca7db2b7f,2023-12-05 17:14,Trade,N/A,0.00019297,BTC,"",2.7,DYDX,0.0027,DYDX,""
c68a08f663a015d8e0ab308df50831b3,2023-12-05 17:15,Trade,N/A,0.00019181,BTC,"",2.7,DYDX,0.0027,DYDX,""
e8ed93f52a7f3293e73e55ea30214d76,2023-12-05 17:16,Trade,N/A,2.7,DYDX,"",0.00019297,BTC,0.00000019,BTC,""
608c1ef62d7ea8aa0b8ad4f8ca9afbbc,2023-12-05 17:24,Trade,N/A,0.00019181,BTC,"",2.7,DYDX,0.0027,DYDX,""
b24acc7827f7710e53ab58891889fca4,2023-12-05 17:29,Trade,N/A,0.00019062,BTC,"",2.7,DYDX,0.0027,DYDX,""
154929f9beb43fefc8c5414c97e55617,2023-12-05 17:32,Trade,N/A,0.00018943,BTC,"",2.7,DYDX,0.0027,DYDX,""
696c7b62feef3fbc1a9ab3316d65823d,2023-12-05 17:32,Trade,N/A,0.1,DYDX,"",0.00000706,BTC,0.00000001,BTC,""
785ca4ec27159746f7dd0e8803985682,2023-12-05 17:32,Trade,N/A,2.6,DYDX,"",0.00018356,BTC,0.00000018,BTC,""
1467049e8727cded472972bb2acf44f5,2023-12-05 17:48,Trade,N/A,2.7,DYDX,"",0.00019181,BTC,0.00000019,BTC,""
8dba081810aa790f022941c29366ed73,2023-12-05 17:53,Trade,N/A,2.7,DYDX,"",0.00019297,BTC,0.00000019,BTC,""
d37c0d8affa351505e5a9f1f42dcaaed,2023-12-05 18:00,Trade,N/A,2.7,DYDX,"",0.00019416,BTC,0.00000019,BTC,""
6e36651ed1c2896c9529538578fbb76c,2023-12-05 18:01,Trade,N/A,2.7,DYDX,"",0.00019532,BTC,0.0000002,BTC,""
065a323e898efaa104bdb7069209e560,2023-12-05 18:01,Trade,N/A,0.00014957,BTC,"",2.08,DYDX,0.00208,DYDX,""
8a42f555c2ec90abb35aa1230069085e,2023-12-05 18:01,Trade,N/A,0.00004458,BTC,"",0.62,DYDX,0.00062,DYDX,""
580b2054504356ffed9965ea1b3f3a96,2023-12-05 18:09,Trade,N/A,2.7,DYDX,"",0.00019532,BTC,0.0000002,BTC,""
427e1f39d797e0b04c2600a57cfe11a3,2023-12-05 18:15,Trade,N/A,2.7,DYDX,"",0.00019651,BTC,0.0000002,BTC,""
948e210934d46735bfff0730f1c9d89e,2023-12-05 18:19,Trade,N/A,0.00019532,BTC,"",2.7,DYDX,0.0027,DYDX,""
091a44949b6dde029d64664a5de37b8d,2023-12-05 18:21,Trade,N/A,0.00012584,BTC,"",1.75,DYDX,0.00175,DYDX,""
4b1c4d0ea9398dcb5d924af26b6d0e6a,2023-12-05 18:21,Trade,N/A,0.00006831,BTC,"",0.95,DYDX,0.00095,DYDX,""
97429c1b7a0f0f4ca342ca43dae0ae16,2023-12-05 18:30,Trade,N/A,0.00019297,BTC,"",2.7,DYDX,0.0027,DYDX,""
d315beb19e68401f191a55a7cbfc2b39,2023-12-05 18:43,Trade,N/A,0.00019181,BTC,"",2.7,DYDX,0.0027,DYDX,""
ff076336eb15bb9090ff588b848c1b32,2023-12-05 18:50,Trade,N/A,2.7,DYDX,"",0.00019297,BTC,0.00000019,BTC,""
8c93fe7056d2e953bf9bbe93d968e3d3,2023-12-05 19:24,Trade,N/A,0.00019181,BTC,"",2.7,DYDX,0.0027,DYDX,""
6b7476b88928174992e6cb443aceb659,2023-12-05 19:27,Trade,N/A,0.00018215,BTC,"",2.58,DYDX,0.00258,DYDX,""
d34935512e29a7647de08114b0fefbe0,2023-12-05 19:27,Trade,N/A,0.00000847,BTC,"",0.12,DYDX,0.00012,DYDX,""
30fb9852dff9d14a7764cfa3736af4b0,2023-12-05 19:48,Trade,N/A,2.7,DYDX,"",0.00019181,BTC,0.00000019,BTC,""
20079df267b9e19c8c9a982c3931b1c8,2023-12-05 20:22,Trade,N/A,0.00019062,BTC,"",2.7,DYDX,0.0027,DYDX,""
